"Comment","Designator","Footprint","LCSC Part #"
"Conn_01x06","J3","",""
"Conn_01x01","J5 J7 J8 J1 J2 J4 J6","",""
"10","R12 R13","0603","C22859"
"5v6","D5","SOT-23-3","C68542"
"2N7002","Q2","SOT-23-3","C8545"
"4k7","R11","0603","C23162"
"10u/25V","C12","0805","C15850"
"AO3400A","Q3","SOT-23-3L","C20917"
"47k","R14","0603","C25819"
"E104-BT5032A","U2","WIRELM-SMD","C518912"
